           x          rho            u            p
-3.88500e-01  7.82874e+00  2.15625e-01  4.62996e+02
-3.87500e-01  7.81396e+00  2.34375e-01  4.61541e+02
-3.86500e-01  7.79920e+00  2.53125e-01  4.60089e+02
-3.85500e-01  7.78447e+00  2.71875e-01  4.58641e+02
-3.84500e-01  7.76975e+00  2.90625e-01  4.57196e+02
-3.83500e-01  7.75504e+00  3.09375e-01  4.55755e+02
-3.82500e-01  7.74036e+00  3.28125e-01  4.54318e+02
-3.81500e-01  7.72570e+00  3.46875e-01  4.52884e+02
-3.80500e-01  7.71105e+00  3.65625e-01  4.51454e+02
-3.79500e-01  7.69642e+00  3.84375e-01  4.50028e+02
-3.78500e-01  7.68181e+00  4.03125e-01  4.48605e+02
-3.77500e-01  7.66722e+00  4.21875e-01  4.47186e+02
-3.76500e-01  7.65265e+00  4.40625e-01  4.45770e+02
-3.75500e-01  7.63810e+00  4.59375e-01  4.44358e+02
-3.74500e-01  7.62356e+00  4.78125e-01  4.42950e+02
-3.73500e-01  7.60905e+00  4.96875e-01  4.41545e+02
-3.72500e-01  7.59455e+00  5.15625e-01  4.40144e+02
-3.71500e-01  7.58007e+00  5.34375e-01  4.38746e+02
-3.70500e-01  7.56561e+00  5.53125e-01  4.37352e+02
-3.69500e-01  7.55117e+00  5.71875e-01  4.35961e+02
-3.68500e-01  7.53674e+00  5.90625e-01  4.34574e+02
-3.67500e-01  7.52234e+00  6.09375e-01  4.33191e+02
-3.66500e-01  7.50795e+00  6.28125e-01  4.31811e+02
-3.65500e-01  7.49358e+00  6.46875e-01  4.30434e+02
-3.64500e-01  7.47923e+00  6.65625e-01  4.29061e+02
-3.63500e-01  7.46489e+00  6.84375e-01  4.27692e+02
-3.62500e-01  7.45058e+00  7.03125e-01  4.26326e+02
-3.61500e-01  7.43628e+00  7.21875e-01  4.24963e+02
-3.60500e-01  7.42201e+00  7.40625e-01  4.23604e+02
-3.59500e-01  7.40775e+00  7.59375e-01  4.22249e+02
-3.58500e-01  7.39351e+00  7.78125e-01  4.20897e+02
-3.57500e-01  7.37928e+00  7.96875e-01  4.19548e+02
-3.56500e-01  7.36508e+00  8.15625e-01  4.18203e+02
-3.55500e-01  7.35089e+00  8.34375e-01  4.16861e+02
-3.54500e-01  7.33672e+00  8.53125e-01  4.15523e+02
-3.53500e-01  7.32257e+00  8.71875e-01  4.14188e+02
-3.52500e-01  7.30844e+00  8.90625e-01  4.12857e+02
-3.51500e-01  7.29433e+00  9.09375e-01  4.11529e+02
-3.50500e-01  7.28023e+00  9.28125e-01  4.10204e+02
-3.49500e-01  7.26616e+00  9.46875e-01  4.08883e+02
-3.48500e-01  7.25210e+00  9.65625e-01  4.07565e+02
-3.47500e-01  7.23806e+00  9.84375e-01  4.06251e+02
-3.46500e-01  7.22403e+00  1.00312e+00  4.04940e+02
-3.45500e-01  7.21003e+00  1.02187e+00  4.03633e+02
-3.44500e-01  7.19604e+00  1.04062e+00  4.02329e+02
-3.43500e-01  7.18208e+00  1.05937e+00  4.01028e+02
-3.42500e-01  7.16812e+00  1.07812e+00  3.99730e+02
-3.41500e-01  7.15419e+00  1.09688e+00  3.98436e+02
-3.40500e-01  7.14028e+00  1.11562e+00  3.97146e+02
-3.39500e-01  7.12638e+00  1.13437e+00  3.95858e+02
-3.38500e-01  7.11250e+00  1.15312e+00  3.94574e+02
-3.37500e-01  7.09864e+00  1.17187e+00  3.93294e+02
-3.36500e-01  7.08480e+00  1.19063e+00  3.92016e+02
-3.35500e-01  7.07098e+00  1.20937e+00  3.90742e+02
-3.34500e-01  7.05717e+00  1.22812e+00  3.89472e+02
-3.33500e-01  7.04338e+00  1.24687e+00  3.88204e+02
-3.32500e-01  7.02961e+00  1.26562e+00  3.86940e+02
-3.31500e-01  7.01586e+00  1.28438e+00  3.85679e+02
-3.30500e-01  7.00213e+00  1.30312e+00  3.84422e+02
-3.29500e-01  6.98841e+00  1.32187e+00  3.83168e+02
-3.28500e-01  6.97471e+00  1.34062e+00  3.81917e+02
-3.27500e-01  6.96103e+00  1.35937e+00  3.80669e+02
-3.26500e-01  6.94737e+00  1.37813e+00  3.79424e+02
-3.25500e-01  6.93373e+00  1.39688e+00  3.78183e+02
-3.24500e-01  6.92010e+00  1.41562e+00  3.76945e+02
-3.23500e-01  6.90649e+00  1.43437e+00  3.75711e+02
-3.22500e-01  6.89290e+00  1.45312e+00  3.74479e+02
-3.21500e-01  6.87933e+00  1.47188e+00  3.73251e+02
-3.20500e-01  6.86577e+00  1.49063e+00  3.72026e+02
-3.19500e-01  6.85223e+00  1.50937e+00  3.70804e+02
-3.18500e-01  6.83871e+00  1.52812e+00  3.69586e+02
-3.17500e-01  6.82521e+00  1.54687e+00  3.68370e+02
-3.16500e-01  6.81173e+00  1.56563e+00  3.67158e+02
-3.15500e-01  6.79826e+00  1.58437e+00  3.65949e+02
-3.14500e-01  6.78481e+00  1.60312e+00  3.64744e+02
-3.13500e-01  6.77138e+00  1.62188e+00  3.63541e+02
-3.12500e-01  6.75797e+00  1.64062e+00  3.62342e+02
-3.11500e-01  6.74457e+00  1.65938e+00  3.61145e+02
-3.10500e-01  6.73120e+00  1.67812e+00  3.59952e+02
-3.09500e-01  6.71784e+00  1.69687e+00  3.58762e+02
-3.08500e-01  6.70449e+00  1.71563e+00  3.57576e+02
-3.07500e-01  6.69117e+00  1.73437e+00  3.56392e+02
-3.06500e-01  6.67786e+00  1.75313e+00  3.55211e+02
-3.05500e-01  6.66457e+00  1.77188e+00  3.54034e+02
-3.04500e-01  6.65130e+00  1.79062e+00  3.52860e+02
-3.03500e-01  6.63805e+00  1.80938e+00  3.51689e+02
-3.02500e-01  6.62481e+00  1.82812e+00  3.50521e+02
-3.01500e-01  6.61159e+00  1.84688e+00  3.49356e+02
-3.00500e-01  6.59839e+00  1.86563e+00  3.48194e+02
-2.99500e-01  6.58521e+00  1.88437e+00  3.47035e+02
-2.98500e-01  6.57204e+00  1.90313e+00  3.45880e+02
-2.97500e-01  6.55889e+00  1.92188e+00  3.44727e+02
-2.96500e-01  6.54576e+00  1.94063e+00  3.43578e+02
-2.95500e-01  6.53265e+00  1.95938e+00  3.42431e+02
-2.94500e-01  6.51955e+00  1.97812e+00  3.41288e+02
-2.93500e-01  6.50647e+00  1.99688e+00  3.40148e+02
-2.92500e-01  6.49341e+00  2.01563e+00  3.39010e+02
-2.91500e-01  6.48037e+00  2.03437e+00  3.37876e+02
-2.90500e-01  6.46734e+00  2.05313e+00  3.36745e+02
-2.89500e-01  6.45434e+00  2.07188e+00  3.35617e+02
